"		7",경남,2023-10-01,16,22.4,27.3,11,0.7,67,14
"		7",경남,2023-11-01,9.7,15.7,28.5,4.4,-6.7,61,6
"		7",경남,2023-12-01,4.3,9.8,21.4,-0.3,-11.9,64,13
"		6",경북,2020-01-01,2.8,7.8,16.8,-1.2,-11.5,65,11
"		6",경북,2020-02-01,3.6,9.3,19.3,-1.5,-13.8,63,5
"		6",경북,2020-03-01,8.1,14.6,25.4,1.7,-8.6,59,7
"		6",경북,2020-04-01,11.2,18,29,4.5,-4.3,52,2
"		6",경북,2020-05-01,17.8,23.7,32.8,12.3,3,69,16
"		6",경북,2020-06-01,22.8,28.5,37,17.7,9.3,71,22
"		6",경북,2020-07-01,22,25.7,33.5,19,12.8,86,36
"		6",경북,2020-08-01,26.5,31,36.9,23,17.2,83,34
"		6",경북,2020-09-01,19.7,24.8,30.9,15.7,6.2,80,26
"		6",경북,2020-10-01,13.6,20.1,27.3,8.1,-1.9,68,13
"		6",경북,2020-11-01,8.4,14.4,25.3,3,-6.3,62,9
"		6",경북,2020-12-01,0.3,6.3,15.3,-4.9,-17.7,53,8
"		6",경북,2021-01-01,-1.1,4.8,16.7,-6.5,-21.6,56,10
"		6",경북,2021-02-01,3.5,10,24.9,-2.5,-13.1,53,8
"		6",경북,2021-03-01,8.8,14.7,23.9,3,-4.9,65,3
"		6",경북,2021-04-01,12.8,19,29.6,6.6,-2.9,58,4
"		6",경북,2021-05-01,16.3,22.2,30.8,10.8,0.4,70,8
"		6",경북,2021-06-01,21.3,26.4,33.9,16.9,6.9,76,13
"		6",경북,2021-07-01,25.4,30.4,37.2,21.3,14.3,81,22
"		6",경북,2021-08-01,24.1,28.6,37,20.9,14,84,25
"		6",경북,2021-09-01,20.6,25.2,31.9,16.8,9.2,82,26
"		6",경북,2021-10-01,14.7,21,31.8,9.9,-2.1,78,19
"		6",경북,2021-11-01,8.2,14.7,21.5,2.9,-6.7,67,14
"		6",경북,2021-12-01,2,8,16.4,-3.3,-15.6,58,10
"		6",경북,2022-01-01,-0.4,5.7,13,-5.9,-16.4,50,8
"		6",경북,2022-02-01,0.2,6.3,15.7,-5.3,-16.4,45,9
"		6",경북,2022-03-01,7.9,14.1,23.3,1.9,-9.3,61,9
"		6",경북,2022-04-01,14.2,21.1,31.3,7.2,-3.8,56,7
"		6",경북,2022-05-01,18.6,25.6,33.6,11.6,1.3,53,11
"		6",경북,2022-06-01,22.5,27.9,37.1,17.7,7.6,73,11
"		6",경북,2022-07-01,25.7,30.3,37.2,22.1,17.6,81,23
"		6",경북,2022-08-01,25.1,29.3,37.9,21.7,10.3,82,23
"		6",경북,2022-09-01,20.3,25.7,33.2,15.9,6.7,79,17
"		6",경북,2022-10-01,13.8,20.1,31,8.5,-2.9,74,17
"		6",경북,2022-11-01,9.5,16.7,25.9,3.5,-7,66,7
"		6",경북,2022-12-01,-1.1,4.3,14.1,-5.8,-17.4,57,12
"		6",경북,2023-01-01,-0.3,5.6,19.3,-5.6,-19.5,57,10
"		6",경북,2023-02-01,3,9.2,18.7,-2.5,-12.4,57,8
"		6",경북,2023-03-01,10,17.2,26.4,3,-7.9,53,8
"		6",경북,2023-04-01,13.2,19.5,29.8,6.7,-3.1,60,6
"		6",경북,2023-05-01,17.9,23.7,34.9,11.8,0.7,67,9
"		6",경북,2023-06-01,22.4,27.9,35,17.6,9.2,73,18
"		6",경북,2023-07-01,25.3,29.8,36.8,21.8,16.6,84,26
"		6",경북,2023-08-01,26.2,30.7,37.8,22.7,17.9,82,36
"		6",경북,2023-09-01,22.2,26.7,32.8,18.7,11.6,83,28
"		6",경북,2023-10-01,14.3,21.1,26,8.8,-1,72,17
"		6",경북,2023-11-01,7.9,13.9,29.4,2.5,-9.1,61,11
"		6",경북,2023-12-01,2.2,7.5,20.9,-2.6,-15.5,64,10
"		156",광주,2020-01-01,4.6,9,17.7,1.2,-4.9,68,13
"		156",광주,2020-02-01,5.3,10.6,19.8,0.8,-7,67,10
"		156",광주,2020-03-01,9,15.2,23.3,3.8,-2.2,58,1
"		156",광주,2020-04-01,11.5,18,25.6,6.2,1.6,52,5
"		156",광주,2020-05-01,18.8,24.4,30.1,14.2,10.4,73,12
"		156",광주,2020-06-01,23.6,28.8,33.7,19.6,14.2,79,21
"		156",광주,2020-07-01,23.4,26.8,31.6,20.8,17.8,91,49
"		156",광주,2020-08-01,27.6,31.6,34.4,24.8,23,89,50
"		156",광주,2020-09-01,21.3,25.7,31.1,17.9,13,85,30
"		156",광주,2020-10-01,15.7,21.2,26.2,11.2,6.5,64,12
"		156",광주,2020-11-01,10.5,15.6,23.6,6.4,0.7,63,12
"		156",광주,2020-12-01,2.7,7.8,13.8,-1.1,-8.9,62,7
"		156",광주,2021-01-01,1.4,6.4,15.5,-2.6,-13.5,71,14
"		156",광주,2021-02-01,5.1,10.7,22.6,0.4,-5.8,59,8
"		156",광주,2021-03-01,10.6,17,25,5.6,-0.1,65,11
"		156",광주,2021-04-01,14.9,20.9,27.2,9.7,3.6,52,8
"		156",광주,2021-05-01,18.4,24,30.4,13.4,7.1,68,16
"		156",광주,2021-06-01,23.3,28.3,32.8,19.2,14.9,76,26
"		156",광주,2021-07-01,27,31.4,35.1,23.6,20.1,82,47
"		156",광주,2021-08-01,25.8,30.3,34.5,22.5,19.9,88,46
"		156",광주,2021-09-01,22.9,27.2,32.4,19.5,15.8,84,38
"		156",광주,2021-10-01,17.2,22.7,30.7,12.8,3.6,77,19
"		156",광주,2021-11-01,10.2,15.8,23.8,5.8,1.1,78,22
"		156",광주,2021-12-01,4.1,9.4,15.4,0,-8.3,71,15
"		156",광주,2022-01-01,1.6,6.7,12.2,-2.3,-6.4,59,15
"		156",광주,2022-02-01,1.8,7.2,16.5,-2.4,-7.8,56,11
"		156",광주,2022-03-01,9.6,15.6,22.8,4.5,-0.9,68,8
"		156",광주,2022-04-01,15.5,22.6,29.2,9.8,2.1,60,9
"		156",광주,2022-05-01,19.3,26.1,31.9,13.8,6.9,59,17
"		156",광주,2022-06-01,23.8,29,34.1,20.1,15.8,83,13
"		156",광주,2022-07-01,27,31.1,34.8,23.8,20.2,88,43
"		156",광주,2022-08-01,26.9,30.6,34.2,24.1,17.2,90,41
"		156",광주,2022-09-01,23.1,28,34.5,19.1,13.9,77,28
"		156",광주,2022-10-01,16,21.6,30.5,11.4,4.7,65,18
